stock_item,godown,batch_name,unit,quantity
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.32 CRT,-45.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.36 CRT,-50.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.39 CRT,-44.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.43 CRT,-36.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.46 CRT,-13.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.50 CRT,-98.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.54 CRT,-105.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.57 CRT,-64.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.61 CRT,-34.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.64 CRT,-144.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.68 CRT,-57.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.71 CRT,-40.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.75 CRT,-21.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.79 CRT,-66.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.82 CRT,-46.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.86 CRT,-96.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.96 CRT,-108.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.00 CRT,-84.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.04 CRT,-58.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.07 CRT,-180.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.11 CRT,-62.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.18 CRT,-165.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.21 CRT,-68.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.25 CRT,-35.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.32 CRT,-111.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.39 CRT,-39.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.46 CRT,-82.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.50 CRT,-42.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.54 CRT,-86.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.79 CRT,-50.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -1.96 CRT,-110.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -11.11 CRT,-311.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -2.07 CRT,-116.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -2.32 CRT,-65.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -2.71 CRT,-76.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -2.89 CRT,-324.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -3.21 CRT,-90.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -3.50 CRT,-98.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -3.57 CRT,-300.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -3.61 CRT,-101.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -3.64 CRT,-102.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -4.50 CRT,-126.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -4.71 CRT,-132.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -4.86 CRT,-136.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -4.89 CRT,-137.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -5.89 CRT,-165.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -5.96 CRT,-167.0
01 DAHI CUP 200,Main Store,Primary Batch,NO. =  38.18 CRT,1069.0
01 DAHI CUP 200,Main Store,Primary Batch,NO. =  61.00 CRT,1708.0
02 MAlai Dahi Tray,01  CM  56  GODOWN,Primary Batch,KG =  1.21 TRAY,12.05
02 MAlai Dahi Tray,01  CM  56  GODOWN,Primary Batch,KG = -0.23 TRAY,-2.3
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.06 TRAY,0.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.07 TRAY,1.95
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.10 TRAY,1.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.20 TRAY,2.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.23 TRAY,13.8
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.30 TRAY,147.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.38 TRAY,3.8
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.46 TRAY,4.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.50 TRAY,5.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.69 TRAY,6.9
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.88 TRAY,8.8
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.89 TRAY,8.94
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.90 TRAY,8.97
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.92 TRAY,9.2
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.94 TRAY,9.41
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.96 TRAY,9.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  0.99 TRAY,9.86
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.08 TRAY,10.78
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.10 TRAY,11.04
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.12 TRAY,11.19
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.13 TRAY,11.3
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.14 TRAY,11.39
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.15 TRAY,34.53
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.16 TRAY,11.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.18 TRAY,23.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.20 TRAY,12.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.22 TRAY,12.2
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.25 TRAY,12.5
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.27 TRAY,12.69
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.28 TRAY,38.48
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.29 TRAY,12.86
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.30 TRAY,25.99
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.31 TRAY,26.18
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.32 TRAY,39.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.33 TRAY,79.75
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.34 TRAY,53.59
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.35 TRAY,26.98
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.36 TRAY,13.59
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.38 TRAY,27.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.40 TRAY,28.03
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.43 TRAY,42.82
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.67 TRAY,16.74
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.69 TRAY,16.88
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  1.84 TRAY,18.35
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.17 TRAY,101.7
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.22 TRAY,102.2
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.32 TRAY,103.18
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.44 TRAY,104.4
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.47 TRAY,104.7
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.50 TRAY,104.98
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.54 TRAY,105.42
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.57 TRAY,105.7
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.60 TRAY,317.99
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.75 TRAY,107.5
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  10.94 TRAY,109.4
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  12.22 TRAY,122.17
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.00 TRAY,20.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.01 TRAY,20.1
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.27 TRAY,22.74
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.29 TRAY,22.88
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.32 TRAY,23.22
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.34 TRAY,46.79
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.36 TRAY,23.56
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.39 TRAY,23.88
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.41 TRAY,48.18
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.43 TRAY,24.3
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.46 TRAY,24.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.48 TRAY,24.8
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.51 TRAY,25.05
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.56 TRAY,51.2
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.57 TRAY,25.73
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.58 TRAY,25.75
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.59 TRAY,77.66
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.60 TRAY,26.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.61 TRAY,78.33
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.62 TRAY,52.48
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.63 TRAY,52.55
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.64 TRAY,26.35
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.65 TRAY,79.35
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.66 TRAY,53.23
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.67 TRAY,80.1
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.68 TRAY,53.61
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.70 TRAY,27.04
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.72 TRAY,54.38
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.73 TRAY,54.59
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.74 TRAY,54.75
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  2.76 TRAY,165.63
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.07 TRAY,30.7
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.35 TRAY,33.5
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.40 TRAY,33.96
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.64 TRAY,36.35
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.74 TRAY,37.37
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.76 TRAY,37.63
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.83 TRAY,76.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.86 TRAY,77.23
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.90 TRAY,39.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.92 TRAY,117.53
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.93 TRAY,39.3
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.94 TRAY,39.4
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  3.97 TRAY,39.7
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  30.00 TRAY,300.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  4.02 TRAY,40.17
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  4.04 TRAY,80.8
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  4.05 TRAY,40.52
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  4.07 TRAY,40.7
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.03 TRAY,50.3
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.07 TRAY,50.7
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.09 TRAY,50.9
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.13 TRAY,51.3
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.15 TRAY,51.5
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.20 TRAY,260.06
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.30 TRAY,53.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.31 TRAY,53.07
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.32 TRAY,53.2
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.33 TRAY,53.3
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.39 TRAY,107.81
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.51 TRAY,55.13
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.53 TRAY,55.3
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.75 TRAY,57.5
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  5.78 TRAY,57.8
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.08 TRAY,60.84
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.21 TRAY,62.05
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.37 TRAY,63.7
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.42 TRAY,128.4
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.45 TRAY,64.5
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.50 TRAY,65.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.57 TRAY,65.68
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.59 TRAY,65.9
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.63 TRAY,198.85
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.69 TRAY,133.83
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.70 TRAY,66.97
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.71 TRAY,67.07
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.72 TRAY,67.2
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.75 TRAY,135.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.81 TRAY,68.05
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  6.89 TRAY,68.94
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.12 TRAY,71.2
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.23 TRAY,72.28
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.24 TRAY,72.4
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.30 TRAY,73.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.46 TRAY,74.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.51 TRAY,75.07
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.66 TRAY,76.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.67 TRAY,76.69
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.73 TRAY,231.94
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.74 TRAY,77.4
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.76 TRAY,77.64
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.80 TRAY,78.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.82 TRAY,78.2
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.86 TRAY,78.57
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.89 TRAY,78.9
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.90 TRAY,79.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.92 TRAY,79.23
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.93 TRAY,79.3
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.94 TRAY,79.43
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.97 TRAY,398.37
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  7.98 TRAY,79.8
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.00 TRAY,240.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.01 TRAY,80.1
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.02 TRAY,160.39
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.03 TRAY,80.3
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.04 TRAY,241.27
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.06 TRAY,80.64
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.07 TRAY,80.7
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.08 TRAY,80.8
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.09 TRAY,80.9
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.10 TRAY,80.97
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.11 TRAY,81.05
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.12 TRAY,162.43
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.18 TRAY,81.8
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.20 TRAY,82.0
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.28 TRAY,82.81
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.35 TRAY,83.5
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.59 TRAY,85.9
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  8.82 TRAY,264.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.06 TRAY,90.55
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.09 TRAY,90.94
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.14 TRAY,91.39
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.16 TRAY,91.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.21 TRAY,92.1
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.25 TRAY,92.47
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.26 TRAY,92.6
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.27 TRAY,92.72
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.28 TRAY,92.8
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.33 TRAY,93.26
02 MAlai Dahi Tray,Main Store,Primary Batch,KG =  9.36 TRAY,93.6
