date,voucher_number,voucher_type,party_ledger,guid,master_id,alter_id,stock_item,quantity,unit,billed_quantity,rate,amount,source_godown,destination_godown,batch_name,is_deemed_positive,movement_type
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,XX PL,1.700,KG,-1.700 KG,360.00/KG,612.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,XX PL,1.000,KG,1.000 KG,360.00/KG,360.00,Main Store,Main Store,Primary Batch,No,IN
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,06 CM GHEE LOOSE,35.200,KG,35.200 KG,760.00/KG,26752.00,Main Store,Main Store,Primary Batch,No,IN
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,06 CM GHEE LOOSE,10.500,KG,-10.500 KG,760.00/KG,7980.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,2,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004421,17441,30124,GREENPEASE Loose,3.000,KG,3.000 KG,160.00/KG,480.00,Main Store,Main Store,Primary Batch,No,IN
20260401,3,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443e,17470,35786,XX PL,2.000,KG,2.000 KG,300.00/KG,600.00,Main Store,Main Store,Primary Batch,No,IN
20260401,3,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443e,17470,35786,05 TAK 500ml Pouch,50,NO.,50 NO.,13.00/NO.,650.00,Main Store,Main Store,Primary Batch,No,IN
20260401,3,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443e,17470,35786,11  Lassi @20,40,NO.,40 NO.,16.00/NO.,640.00,Main Store,Main Store,Primary Batch,No,IN
20260401,4,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443f,17471,30906,05 TAK 500ml Pouch,50,NO.,50 NO.,18.00/NO.,900.00,Main Store,Main Store,Primary Batch,No,IN
20260401,4,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443f,17471,30906,08  CHAKKA,14.000,KG,14.000 KG,280.00/KG,3920.00,Main Store,Main Store,Primary Batch,No,IN
20260401,5,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000446f,17519,30615,01  DAHI CUP 200,8,NO. = -0.29 CRT,-8 NO. = -0.29 CRT,18.00/NO.,144.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,5,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000446f,17519,30615,10   Lassi  @10,1,NO.,-1 NO.,8.00/NO.,8.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,6,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447b,17531,35759,01  DAHI CUP 200,81,NO. = -2.89 CRT,-81 NO. = -2.89 CRT,18.00/NO.,1458.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,6,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447b,17531,35759,05 TAK 500ml Pouch,11,NO.,-11 NO.,13.00/NO.,143.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,6,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447b,17531,35759,10   Lassi  @10,30,NO.,-30 NO.,8.00/NO.,240.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,6,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447b,17531,35759,11  Lassi @20,40,NO.,-40 NO.,16.00/NO.,640.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,7,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,01  DAHI CUP 200,243,NO. =  8.68 CRT,243 NO. =  8.68 CRT,18.00/NO.,4374.00,Main Store,Main Store,Primary Batch,No,IN
20260401,7,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,01  DAHI CUP 200,162,NO. =  5.79 CRT,162 NO. =  5.79 CRT,16.00/NO.,2592.00,Main Store,Main Store,Primary Batch,No,IN
20260401,7,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,05 TAK 500ml Pouch,100,NO.,100 NO.,11.50/NO.,1150.00,Main Store,Main Store,Primary Batch,No,IN
20260401,7,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,XX PL,2.000,KG,2.000 KG,300.00/KG,600.00,Main Store,Main Store,Primary Batch,No,IN
20260401,7,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,05 TAK 500ml Pouch,50,NO.,50 NO.,13.00/NO.,650.00,Main Store,Main Store,Primary Batch,No,IN
20260401,7,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,10   Lassi  @10,400,NO.,400 NO.,7.00/NO.,2800.00,Main Store,Main Store,Primary Batch,No,IN
20260401,7,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,10   Lassi  @10,200,NO.,200 NO.,8.00/NO.,1600.00,Main Store,Main Store,Primary Batch,No,IN
20260401,8,Sales,02 Rsa Afternoon Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447e,17534,33593,17  cm 54,59.00,ltr,-59.00 ltr,54.00/ltr,3186.00,04 cm 54   Godown,04 cm 54   Godown,Primary Batch,No,OUT
20260401,8,Sales,02 Rsa Afternoon Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447e,17534,33593,18  MISHR  70,8.90,ltr,-8.90 ltr,70.00/ltr,623.00,04 cm 54   Godown,04 cm 54   Godown,Primary Batch,No,OUT
20260401,8,Sales,02 Rsa Afternoon Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447e,17534,33593,14  CM 56,20.40,ltr,-20.40 ltr,54.00/ltr,1101.60,02  MISHR   68    GODOWN,02  MISHR   68    GODOWN,Primary Batch,No,OUT
20260401,8,Sales,02 Rsa Afternoon Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447e,17534,33593,16  Bm  82,23.80,ltr,-23.80 ltr,78.00/ltr,1856.40,02  MISHR   68    GODOWN,02  MISHR   68    GODOWN,Primary Batch,No,OUT
20260401,8,Sales,02 Rsa Afternoon Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447e,17534,33593,15  MISHR    68,37.30,ltr,-37.30 ltr,66.00/ltr,2461.80,02  MISHR   68    GODOWN,02  MISHR   68    GODOWN,Primary Batch,No,OUT
20260401,9,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447f,17535,33595,02 MAlai Dahi Tray,7.300,KG = -0.73 TRAY,-7.300 KG = -0.73 TRAY,120.00/KG,876.00,Main Store,Main Store,Primary Batch,No,OUT
20260402,12,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ae,17582,30866,02 MAlai Dahi Tray,80.430,KG =  8.04 TRAY,80.430 KG =  8.04 TRAY,120.00/KG,9651.60,Main Store,Main Store,Primary Batch,No,IN
20260402,12,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ae,17582,30866,02 MAlai Dahi Tray,13.800,KG = -1.38 TRAY,-13.800 KG = -1.38 TRAY,120.00/KG,1656.00,Main Store,Main Store,Primary Batch,No,OUT
20260402,12,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ae,17582,30866,03 Mattha Dahi,52.990,KG,52.990 KG,56.00/KG,2967.44,Main Store,Main Store,Primary Batch,No,IN
20260402,12,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ae,17582,30866,03 Mattha Dahi,6.000,KG,-6.000 KG,56.00/KG,336.00,Main Store,Main Store,Primary Batch,No,OUT
20260402,12,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ae,17582,30866,XX PL,37.620,KG,37.620 KG,360.00/KG,13543.20,Main Store,Main Store,Primary Batch,No,IN
20260402,12,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ae,17582,30866,XX PL,1.700,KG,-1.700 KG,360.00/KG,612.00,Main Store,Main Store,Primary Batch,No,OUT
20260402,12,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ae,17582,30866,05 TAK 500ml Pouch,50,NO.,50 NO.,18.00/NO.,900.00,Main Store,Main Store,Primary Batch,No,IN
20260402,12,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ae,17582,30866,06 CM GHEE LOOSE,17.140,KG,-17.140 KG,760.00/KG,13026.40,Main Store,Main Store,Primary Batch,No,OUT
20260402,12,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ae,17582,30866,06 CM GHEE LOOSE,27.720,KG,27.720 KG,760.00/KG,21067.20,Main Store,Main Store,Primary Batch,No,IN
20260402,13,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044b0,17584,30867,05 TAK 500ml Pouch,3,NO.,-3 NO.,18.00/NO.,54.00,Main Store,Main Store,Primary Batch,No,OUT
20260402,13,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044b0,17584,30867,XX PL,2.030,KG,-2.030 KG,360.00/KG,730.80,Main Store,Main Store,Primary Batch,No,OUT
20260402,14,Sales,12  ATM  A,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044e9,17641,31415,17  cm 54,11.70,ltr,-11.70 ltr,54.00/ltr,631.80,10  Tak  .500    Godown,10  Tak  .500    Godown,Primary Batch,No,OUT
20260402,15,Sales,THE VEGAN  HOTEL,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004427,17447,36839,16  Bm  82,40.00,ltr,40.00 ltr,76.00/ltr,3040.00,Main Store,Main Store,Primary Batch,No,IN
20260402,16,Sales,01   Yash Morning  Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044fe,17662,31649,17  cm 54,8.40,ltr,-8.40 ltr,54.00/ltr,453.60,06  Panir   Godown,06  Panir   Godown,Primary Batch,No,OUT
20260402,16,Sales,01   Yash Morning  Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044fe,17662,31649,18  MISHR  70,8.00,ltr,-8.00 ltr,70.00/ltr,560.00,06  Panir   Godown,06  Panir   Godown,Primary Batch,No,OUT
20260402,17,Sales,01   Yash Morning  Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ff,17663,31653,16  Bm  82,6.70,ltr,-6.70 ltr,78.00/ltr,522.60,02  MISHR   68    GODOWN,02  MISHR   68    GODOWN,Primary Batch,No,OUT
20260402,18,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000450b,17675,35798,01  DAHI CUP 200,80,NO. =  2.86 CRT,80 NO. =  2.86 CRT,18.00/NO.,1440.00,Main Store,Main Store,Primary Batch,No,IN
20260402,18,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000450b,17675,35798,05 TAK 500ml Pouch,20,NO.,20 NO.,13.00/NO.,260.00,Main Store,Main Store,Primary Batch,No,IN
20260402,18,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000450b,17675,35798,10   Lassi  @10,125,NO.,125 NO.,8.00/NO.,1000.00,Main Store,Main Store,Primary Batch,No,IN
20260402,18,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000450b,17675,35798,50  D10,60,NO.,60 NO.,8.00/NO.,480.00,Main Store,Main Store,Primary Batch,No,IN
20260402,19,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000450e,17678,31743,01  DAHI CUP 200,280,NO. =  10.00 CRT,280 NO. =  10.00 CRT,18.00/NO.,5040.00,Main Store,Main Store,Primary Batch,No,IN
20260402,19,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000450e,17678,31743,05 TAK 500ml Pouch,100,NO.,100 NO.,13.00/NO.,1300.00,Main Store,Main Store,Primary Batch,No,IN
20260402,19,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000450e,17678,31743,10   Lassi  @10,150,NO.,150 NO.,8.00/NO.,1200.00,Main Store,Main Store,Primary Batch,No,IN
20260402,19,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000450e,17678,31743,XX PL,2.000,KG,2.000 KG,300.00/KG,600.00,Main Store,Main Store,Primary Batch,No,IN
20260402,20,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004516,17686,31778,Ready Mix-45,360,NO.,360 NO.,45.00/NO.,16200.00,Main Store,Main Store,Primary Batch,No,IN
20260402,20,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004516,17686,31778,READY MIX - 49,360,NO.,360 NO.,49.00/NO.,17640.00,Main Store,Main Store,Primary Batch,No,IN
20260402,21,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004526,17702,31795,03 Mattha Dahi,26.090,KG,26.090 KG,56.00/KG,1461.04,Main Store,Main Store,Primary Batch,No,IN
20260402,21,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004526,17702,31795,03 Mattha Dahi,3.000,KG,-3.000 KG,56.00/KG,168.00,Main Store,Main Store,Primary Batch,No,OUT
20260402,22,Sales,02 Rsa Afternoon Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004517,17687,31779,17  cm 54,19.00,ltr,-19.00 ltr,54.00/ltr,1026.00,04 cm 54   Godown,04 cm 54   Godown,Primary Batch,No,OUT
20260402,23,Sales,12  ATM  A,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004518,17688,31780,14  CM 56,8.60,ltr,-8.60 ltr,56.00/ltr,481.60,01  CM  56  GODOWN,01  CM  56  GODOWN,Primary Batch,No,OUT
20260402,23,Sales,12  ATM  A,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004518,17688,31780,17  cm 54,23.20,ltr,-23.20 ltr,54.00/ltr,1252.80,04 cm 54   Godown,04 cm 54   Godown,Primary Batch,No,OUT
20260402,23,Sales,12  ATM  A,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004518,17688,31780,15  MISHR    68,28.30,ltr,-28.30 ltr,66.00/ltr,1867.80,02  MISHR   68    GODOWN,02  MISHR   68    GODOWN,Primary Batch,No,OUT
20260402,24,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004527,17703,35800,05 TAK 500ml Pouch,20,NO.,20 NO.,13.00/NO.,260.00,Main Store,Main Store,Primary Batch,No,IN
20260402,24,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004527,17703,35800,10   Lassi  @10,50,NO.,50 NO.,8.00/NO.,400.00,Main Store,Main Store,Primary Batch,No,IN
20260402,25,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004539,17721,35790,01  DAHI CUP 200,101,NO. = -3.61 CRT,-101 NO. = -3.61 CRT,18.00/NO.,1818.00,Main Store,Main Store,Primary Batch,No,OUT
20260402,25,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004539,17721,35790,05 TAK 500ml Pouch,29,NO.,-29 NO.,13.00/NO.,377.00,Main Store,Main Store,Primary Batch,No,OUT
20260402,25,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004539,17721,35790,10   Lassi  @10,16,NO.,-16 NO.,8.00/NO.,128.00,Main Store,Main Store,Primary Batch,No,OUT
20260402,26,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000453a,17722,31826,05 TAK 500ml Pouch,6,NO.,-6 NO.,13.00/NO.,78.00,Main Store,Main Store,Primary Batch,No,OUT
20260402,27,Sales,02 Rsa Afternoon Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004540,17728,31835,14  CM 56,5.60,ltr,-5.60 ltr,56.00/ltr,313.60,01  CM  56  GODOWN,01  CM  56  GODOWN,Primary Batch,No,OUT
20260402,27,Sales,02 Rsa Afternoon Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004540,17728,31835,15  MISHR    68,7.20,ltr,-7.20 ltr,66.00/ltr,475.20,02  MISHR   68    GODOWN,02  MISHR   68    GODOWN,Primary Batch,No,OUT
20260402,27,Sales,02 Rsa Afternoon Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004540,17728,31835,18  MISHR  70,13.30,ltr,-13.30 ltr,70.00/ltr,931.00,04 cm 54   Godown,04 cm 54   Godown,Primary Batch,No,OUT
20260402,27,Sales,02 Rsa Afternoon Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004540,17728,31835,17  cm 54,39.70,ltr,-39.70 ltr,54.00/ltr,2143.80,04 cm 54   Godown,04 cm 54   Godown,Primary Batch,No,OUT
20260402,28,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004541,17729,31836,02 MAlai Dahi Tray,6.980,KG = -0.70 TRAY,-6.980 KG = -0.70 TRAY,120.00/KG,837.60,Main Store,Main Store,Primary Batch,No,OUT
20260402,28,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004541,17729,31836,43 Loose  Tak,3.170,KG,-3.170 KG,24.00/KG,76.08,Main Store,Main Store,Primary Batch,No,OUT
20260403,29,Sales,THE VEGAN  HOTEL,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045b2,17842,36840,16  Bm  82,40.00,ltr,40.00 ltr,76.00/ltr,3040.00,Main Store,Main Store,Primary Batch,No,IN
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,06 CM GHEE LOOSE,46.660,KG,46.660 KG,760.00/KG,35461.60,Main Store,Main Store,Primary Batch,No,IN
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,06 CM GHEE LOOSE,10.020,KG,-10.020 KG,760.00/KG,7615.20,Main Store,Main Store,Primary Batch,No,OUT
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,02 MAlai Dahi Tray,81.200,KG =  8.12 TRAY,81.200 KG =  8.12 TRAY,120.00/KG,9744.00,Main Store,Main Store,Primary Batch,No,IN
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,02 MAlai Dahi Tray,13.800,KG = -1.38 TRAY,-13.800 KG = -1.38 TRAY,120.00/KG,1656.00,Main Store,Main Store,Primary Batch,No,OUT
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,03 Mattha Dahi,51.270,KG,51.270 KG,56.00/KG,2871.12,Main Store,Main Store,Primary Batch,No,IN
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,03 Mattha Dahi,6.000,KG,-6.000 KG,56.00/KG,336.00,Main Store,Main Store,Primary Batch,No,OUT
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,XX PL,31.670,KG,31.670 KG,360.00/KG,11401.20,Main Store,Main Store,Primary Batch,No,IN
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,XX PL,1.700,KG,-1.700 KG,360.00/KG,612.00,Main Store,Main Store,Primary Batch,No,OUT
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,05 TAK 500ml Pouch,50,NO.,50 NO.,18.00/NO.,900.00,Main Store,Main Store,Primary Batch,No,IN
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,07 BM GHEE LOOSE,10.220,KG,-10.220 KG,780.00/KG,7971.60,Main Store,Main Store,Primary Batch,No,OUT
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,43 Loose  Tak,52.750,KG,52.750 KG,24.00/KG,1266.00,Main Store,Main Store,Primary Batch,No,IN
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,07 BM GHEE LOOSE,40.550,KG,40.550 KG,780.00/KG,31629.00,Main Store,Main Store,Primary Batch,No,IN
20260403,30,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,XX PL,4.170,KG,-4.170 KG,360.00/KG,1501.20,Main Store,Main Store,Primary Batch,No,OUT
20260403,31,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004575,17781,32243,01  DAHI CUP 200,81,NO. =  2.89 CRT,81 NO. =  2.89 CRT,18.00/NO.,1458.00,Main Store,Main Store,Primary Batch,No,IN
20260403,31,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004575,17781,32243,05 TAK 500ml Pouch,30,NO.,30 NO.,13.00/NO.,390.00,Main Store,Main Store,Primary Batch,No,IN
20260403,31,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004575,17781,32243,50  D10,40,NO.,40 NO.,8.00/NO.,320.00,Main Store,Main Store,Primary Batch,No,IN
20260403,31,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004575,17781,32243,10   Lassi  @10,100,NO.,100 NO.,8.00/NO.,800.00,Main Store,Main Store,Primary Batch,No,IN
20260403,32,Sales,01   Yash Morning  Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045d4,17876,32671,14  CM 56,12.20,ltr,-12.20 ltr,54.00/ltr,658.80,03  CM 54   GODOWN,03  CM 54   GODOWN,Primary Batch,No,OUT
20260403,32,Sales,01   Yash Morning  Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045d4,17876,32671,18  MISHR  70,9.10,ltr,-9.10 ltr,70.00/ltr,637.00,12  Malai Lassi   Godown,12  Malai Lassi   Godown,Primary Batch,No,OUT
20260403,33,Sales,APPA KOTHALE,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004bfb,19451,35565,07 BM GHEE LOOSE,0.500,KG,0.500 KG,740.00/KG,370.00,Main Store,Main Store,Primary Batch,No,IN
20260403,34,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045e5,17893,32692,05 TAK 500ml Pouch,50,NO.,50 NO.,18.00/NO.,900.00,Main Store,Main Store,Primary Batch,No,IN
20260403,35,Sales,08  Wadgaonkar  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c9d,19613,35856,01  DAHI CUP 200,184,NO. =  6.57 CRT,184 NO. =  6.57 CRT,18.00/NO.,3312.00,Main Store,Main Store,Primary Batch,No,IN
