date,voucher_number,voucher_type,guid,master_id,alter_id,party_ledger,reference,is_invoice,ledger_name,amount,is_deemed_positive,is_party_ledger,ledger_from_item,bill_reference,bill_date,bill_type,cost_centre
20260402,13,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044b0,17584,30867,04 GHEE COUNTER,1235,Yes,04 GHEE COUNTER,784.8,Yes,Yes,No,,,,
20260402,14,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044e9,17641,31415,12  ATM  A,,Yes,12  ATM  A,631.8,Yes,Yes,No,,,,
20260402,15,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004427,17447,36839,THE VEGAN  HOTEL,,Yes,THE VEGAN  HOTEL,-3180.0,Yes,Yes,No,,,,
20260402,15,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004427,17447,36839,THE VEGAN  HOTEL,,Yes,Transport,140.0,No,No,No,,,,
20260402,16,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044fe,17662,31649,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,1013.6,Yes,Yes,No,,,,
20260402,17,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ff,17663,31653,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,522.6,Yes,Yes,No,,,,
20260402,18,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000450b,17675,35798,09   Pandurang  Sales,,Yes,09   Pandurang  Sales,-3180.0,Yes,Yes,No,,,,
20260402,19,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000450e,17678,31743,08  Wadgaonkar  Sales,,Yes,08  Wadgaonkar  Sales,-8140.0,Yes,Yes,No,,,,
20260402,20,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004516,17686,31778,04 GHEE COUNTER,,Yes,04 GHEE COUNTER,-33840.0,Yes,Yes,No,,,,
20260402,21,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004526,17702,31795,04 GHEE COUNTER,,Yes,04 GHEE COUNTER,-1293.04,Yes,Yes,No,,,,
20260402,22,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004517,17687,31779,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,1026.0,Yes,Yes,No,,,,
20260402,23,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004518,17688,31780,12  ATM  A,,Yes,12  ATM  A,3602.2,Yes,Yes,No,,,,
20260402,24,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004527,17703,35800,09   Pandurang  Sales,,Yes,09   Pandurang  Sales,-660.0,Yes,Yes,No,,,,
20260402,25,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004539,17721,35790,08  Wadgaonkar  Sales,1240,Yes,08  Wadgaonkar  Sales,2323.0,Yes,Yes,No,,,,
20260402,26,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000453a,17722,31826,09   Pandurang  Sales,,Yes,09   Pandurang  Sales,78.0,Yes,Yes,No,,,,
20260402,27,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004540,17728,31835,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,3863.6,Yes,Yes,No,,,,
20260402,28,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004541,17729,31836,04 GHEE COUNTER,,Yes,04 GHEE COUNTER,913.68,Yes,Yes,No,,,,
20260403,29,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045b2,17842,36840,THE VEGAN  HOTEL,,Yes,THE VEGAN  HOTEL,-3180.0,Yes,Yes,No,,,,
20260403,29,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045b2,17842,36840,THE VEGAN  HOTEL,,Yes,Transport,140.0,No,No,No,,,,
20260403,30,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004555,17749,31981,04 GHEE COUNTER,1253,Yes,04 GHEE COUNTER,-73580.92,Yes,Yes,No,,,,
20260403,31,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004575,17781,32243,09   Pandurang  Sales,1252,Yes,09   Pandurang  Sales,-2968.0,Yes,Yes,No,,,,
20260403,32,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045d4,17876,32671,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,1295.8,Yes,Yes,No,,,,
20260403,33,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004bfb,19451,35565,APPA KOTHALE,,Yes,APPA KOTHALE,-370.0,Yes,Yes,No,,,,
20260403,34,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045e5,17893,32692,04 GHEE COUNTER,1257,Yes,04 GHEE COUNTER,-900.0,Yes,Yes,No,,,,
20260403,35,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c9d,19613,35856,08  Wadgaonkar  Sales,,Yes,08  Wadgaonkar  Sales,-15247.0,Yes,Yes,No,,,,
20260403,36,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045e7,17895,32694,09   Pandurang  Sales,1256,Yes,09   Pandurang  Sales,-400.0,Yes,Yes,No,,,,
20260403,37,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045f1,17905,32705,04 GHEE COUNTER,1263,Yes,04 GHEE COUNTER,-12.0,Yes,Yes,No,,,,
20260403,38,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045fe,17918,35811,08  Wadgaonkar  Sales,1264,Yes,08  Wadgaonkar  Sales,1320.0,Yes,Yes,No,,,,
20260403,39,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000045ff,17919,35863,09   Pandurang  Sales,1262,Yes,09   Pandurang  Sales,412.0,Yes,Yes,No,,,,
20260403,40,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004600,17920,32812,04 GHEE COUNTER,1272,Yes,04 GHEE COUNTER,1206.0,Yes,Yes,No,,,,
20260403,41,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004603,17923,32815,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,10108.0,Yes,Yes,No,,,,
20260404,42,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004622,17954,32848,04 GHEE COUNTER,1275,Yes,04 GHEE COUNTER,-26838.64,Yes,Yes,No,,,,
20260404,43,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004627,17959,32853,09   Pandurang  Sales,1276,Yes,09   Pandurang  Sales,-3168.0,Yes,Yes,No,,,,
20260404,44,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004628,17960,35870,08  Wadgaonkar  Sales,1274,Yes,08  Wadgaonkar  Sales,-10635.0,Yes,Yes,No,,,,
20260404,45,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004647,17991,36841,THE VEGAN  HOTEL,,Yes,THE VEGAN  HOTEL,-3180.0,Yes,Yes,No,,,,
20260404,45,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004647,17991,36841,THE VEGAN  HOTEL,,Yes,Transport,140.0,No,No,No,,,,
20260404,46,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004664,18020,33043,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,1687.64,Yes,Yes,No,,,,
20260404,47,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000467f,18047,35871,08  Wadgaonkar  Sales,1281,Yes,08  Wadgaonkar  Sales,-2050.0,Yes,Yes,No,,,,
20260404,48,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004680,18048,33203,09   Pandurang  Sales,1282,Yes,09   Pandurang  Sales,-560.0,Yes,Yes,No,,,,
20260404,49,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004695,18069,33225,04 GHEE COUNTER,1279,Yes,04 GHEE COUNTER,-26763.2,Yes,Yes,No,,,,
20260404,50,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004698,18072,33228,09   Pandurang  Sales,1289,Yes,09   Pandurang  Sales,109.0,Yes,Yes,No,,,,
20260404,51,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004699,18073,33229,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,4515.2,Yes,Yes,No,,,,
20260404,52,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000469b,18075,33231,08  Wadgaonkar  Sales,1290,Yes,08  Wadgaonkar  Sales,1577.0,Yes,Yes,No,,,,
20260404,53,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000469d,18077,33233,04 GHEE COUNTER,1287,Yes,04 GHEE COUNTER,1254.0,Yes,Yes,No,,,,
20260405,54,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000046c7,18119,33275,04 GHEE COUNTER,1299,Yes,04 GHEE COUNTER,-31848.48,Yes,Yes,No,,,,
20260405,55,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000046c9,18121,35880,08  Wadgaonkar  Sales,1298,Yes,08  Wadgaonkar  Sales,-7022.0,Yes,Yes,No,,,,
20260405,56,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004cb9,19641,35878,08  Wadgaonkar  Sales,,Yes,08  Wadgaonkar  Sales,-3895.0,Yes,Yes,No,,,,
20260405,57,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000046ca,18122,35887,09   Pandurang  Sales,1302,Yes,09   Pandurang  Sales,-5107.0,Yes,Yes,No,,,,
20260405,58,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000046d2,18130,33286,04 GHEE COUNTER,1307,Yes,04 GHEE COUNTER,-1790.0,Yes,Yes,No,,,,
20260405,59,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000046d7,18135,36842,THE VEGAN  HOTEL,,Yes,THE VEGAN  HOTEL,-3180.0,Yes,Yes,No,,,,
20260405,59,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000046d7,18135,36842,THE VEGAN  HOTEL,,Yes,Transport,140.0,No,No,No,,,,
20260405,60,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000046d9,18137,33293,04 GHEE COUNTER,1302,Yes,04 GHEE COUNTER,-1150.0,Yes,Yes,No,,,,
20260405,61,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000046ef,18159,33388,04 GHEE COUNTER,1305,Yes,04 GHEE COUNTER,-7786.8,Yes,Yes,No,,,,
20260405,62,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000470a,18186,33477,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,1306.8,Yes,Yes,No,,,,
20260405,63,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004720,18208,33508,08  Wadgaonkar  Sales,1313,Yes,08  Wadgaonkar  Sales,-650.0,Yes,Yes,No,,,,
20260405,64,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004723,18211,33511,04 GHEE COUNTER,1314,Yes,04 GHEE COUNTER,-2888.0,Yes,Yes,No,,,,
20260405,65,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004727,18215,33515,04 GHEE COUNTER,1311,Yes,04 GHEE COUNTER,-3936.0,Yes,Yes,No,,,,
20260405,66,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000472f,18223,33523,04 GHEE COUNTER,1311,Yes,04 GHEE COUNTER,-5364.0,Yes,Yes,No,,,,
20260405,67,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004731,18225,33525,08  Wadgaonkar  Sales,1313,Yes,08  Wadgaonkar  Sales,-270.0,Yes,Yes,No,,,,
20260405,68,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004738,18232,33532,08  Wadgaonkar  Sales,1309,Yes,08  Wadgaonkar  Sales,665.0,Yes,Yes,No,,,,
20260405,69,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004739,18233,33533,09   Pandurang  Sales,13010,Yes,09   Pandurang  Sales,213.0,Yes,Yes,No,,,,
20260405,70,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000473c,18236,33536,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,4803.0,Yes,Yes,No,,,,
20260405,71,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000473e,18238,33538,04 GHEE COUNTER,1319,Yes,04 GHEE COUNTER,1788.0,Yes,Yes,No,,,,
20260406,72,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004752,18258,33558,04 GHEE COUNTER,1323,Yes,04 GHEE COUNTER,-70903.4,Yes,Yes,No,,,,
20260406,73,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000478b,18315,33648,04 GHEE COUNTER,,Yes,04 GHEE COUNTER,-250.0,Yes,Yes,No,,,,
20260406,74,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000478d,18317,33650,04 GHEE COUNTER,,Yes,04 GHEE COUNTER,-900.0,Yes,Yes,No,,,,
20260406,75,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004774,18292,36843,THE VEGAN  HOTEL,,Yes,THE VEGAN  HOTEL,-3180.0,Yes,Yes,No,,,,
20260406,75,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004774,18292,36843,THE VEGAN  HOTEL,,Yes,Transport,140.0,No,No,No,,,,
20260406,76,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004783,18307,33640,08  Wadgaonkar  Sales,,Yes,08  Wadgaonkar  Sales,-9034.0,Yes,Yes,No,,,,
20260406,77,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004790,18320,35899,09   Pandurang  Sales,,Yes,09   Pandurang  Sales,-4098.0,Yes,Yes,No,,,,
20260406,78,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000479b,18331,33664,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,1232.4,Yes,Yes,No,,,,
20260406,79,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000047ab,18347,33680,04 GHEE COUNTER,,Yes,04 GHEE COUNTER,-1162.8,Yes,Yes,No,,,,
20260406,80,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000047ac,18348,33681,09   Pandurang  Sales,,Yes,09   Pandurang  Sales,-445.0,Yes,Yes,No,,,,
20260406,81,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000047c5,18373,35898,08  Wadgaonkar  Sales,,Yes,08  Wadgaonkar  Sales,658.0,Yes,Yes,No,,,,
20260406,82,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000047c6,18374,33707,09   Pandurang  Sales,,Yes,09   Pandurang  Sales,363.0,Yes,Yes,No,,,,
20260406,83,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000047c8,18376,33709,04 GHEE COUNTER,,Yes,04 GHEE COUNTER,-5544.0,Yes,Yes,No,,,,
20260406,84,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000047ca,18378,33742,04 GHEE COUNTER,,Yes,04 GHEE COUNTER,2148.0,Yes,Yes,No,,,,
20260406,85,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000047ce,18382,33766,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,1107.0,Yes,Yes,No,,,,
20260406,86,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000047cf,18383,33809,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,4256.0,Yes,Yes,No,,,,
20260407,91,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000480b,18443,34092,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,-5719.14,Yes,Yes,No,,,,
20260407,92,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000480c,18444,35908,08  Wadgaonkar  Sales,1355,Yes,08  Wadgaonkar  Sales,-8394.0,Yes,Yes,No,,,,
20260407,93,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000480f,18447,34096,09   Pandurang  Sales,1356,Yes,09   Pandurang  Sales,-2518.0,Yes,Yes,No,,,,
20260407,94,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004812,18450,34101,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,-1568.0,Yes,Yes,No,,,,
20260407,95,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004813,18451,34102,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,-1968.12,Yes,Yes,No,,,,
20260407,96,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004816,18454,34234,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,1776.5,Yes,Yes,No,,,,
20260407,97,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004817,18455,34106,09   Pandurang  Sales,1356,Yes,09   Pandurang  Sales,-785.0,Yes,Yes,No,,,,
20260407,98,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004818,18456,35907,08  Wadgaonkar  Sales,1357,Yes,08  Wadgaonkar  Sales,-1150.0,Yes,Yes,No,,,,
20260407,99,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000483b,18491,34172,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,-21129.8,Yes,Yes,No,,,,
20260407,100,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000483f,18495,34233,13  ATM   B,,Yes,13  ATM   B,1189.62,Yes,Yes,No,,,,
20260407,101,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004840,18496,34177,13  ATM   B,,Yes,13  ATM   B,3150.4,Yes,Yes,No,,,,
20260407,102,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000484d,18509,34212,12  ATM  A,,Yes,12  ATM  A,-27128.14,Yes,Yes,No,,,,
20260407,103,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004852,18514,34231,12  ATM  A,,Yes,12  ATM  A,-2318.4,Yes,Yes,No,,,,
20260407,104,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000485a,18522,34241,08  Wadgaonkar  Sales,1358,Yes,08  Wadgaonkar  Sales,345.0,Yes,Yes,No,,,,
20260407,105,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000485b,18523,34242,04 GHEE COUNTER,1368,Yes,04 GHEE COUNTER,-5292.0,Yes,Yes,No,,,,
20260407,106,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000485f,18527,34246,09   Pandurang  Sales,1365,Yes,09   Pandurang  Sales,239.0,Yes,Yes,No,,,,
20260407,107,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004860,18528,34247,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,6905.02,Yes,Yes,No,,,,
20260407,108,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004861,18529,34248,04 GHEE COUNTER,1366,Yes,04 GHEE COUNTER,1838.16,Yes,Yes,No,,,,
20260407,87,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000047e8,18408,33870,04 GHEE COUNTER,1353,Yes,04 GHEE COUNTER,-19465.6,Yes,Yes,No,,,,
20260407,88,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000047fa,18426,33920,04 GHEE COUNTER,1353+1354,Yes,04 GHEE COUNTER,432.8,Yes,Yes,No,,,,
20260407,89,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004809,18441,34090,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,-609.0,Yes,Yes,No,,,,
20260407,90,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000480a,18442,34091,12  ATM  A,,Yes,12  ATM  A,-2195.1,Yes,Yes,No,,,,
20260408,109,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004868,18536,34255,12  ATM  A,,Yes,12  ATM  A,-2290.4,Yes,Yes,No,,,,
20260408,110,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004869,18537,34256,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,-495.6,Yes,Yes,No,,,,
20260408,111,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000486a,18538,34257,12  ATM  A,,Yes,12  ATM  A,-2205.36,Yes,Yes,No,,,,
20260408,112,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000487c,18556,34275,04 GHEE COUNTER,1377,Yes,04 GHEE COUNTER,-42186.8,Yes,Yes,No,,,,
20260408,113,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000487f,18559,34278,09   Pandurang  Sales,1380,Yes,09   Pandurang  Sales,-8674.0,Yes,Yes,No,,,,
20260408,114,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000048a6,18598,36844,THE VEGAN  HOTEL,,Yes,THE VEGAN  HOTEL,-3180.0,Yes,Yes,No,,,,
20260408,114,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000048a6,18598,36844,THE VEGAN  HOTEL,,Yes,Transport,140.0,No,No,No,,,,
20260408,115,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000048c3,18627,34386,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,308.6,Yes,Yes,No,,,,
20260408,116,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000048e4,18660,34444,09   Pandurang  Sales,1383,Yes,09   Pandurang  Sales,-260.0,Yes,Yes,No,,,,
20260408,117,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000048e5,18661,34445,08  Wadgaonkar  Sales,1386,Yes,08  Wadgaonkar  Sales,-2400.0,Yes,Yes,No,,,,
20260408,118,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000048e6,18662,34446,04 GHEE COUNTER,1382,Yes,04 GHEE COUNTER,-10360.8,Yes,Yes,No,,,,
20260408,119,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000048ea,18666,34450,09   Pandurang  Sales,1391,Yes,09   Pandurang  Sales,158.0,Yes,Yes,No,,,,
20260408,120,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000048ef,18671,34455,08  Wadgaonkar  Sales,,Yes,08  Wadgaonkar  Sales,117.0,Yes,Yes,No,,,,
20260408,121,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000048f2,18674,34495,04 GHEE COUNTER,1389,Yes,04 GHEE COUNTER,384.0,Yes,Yes,No,,,,
20260408,122,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000048f3,18675,34459,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,7724.2,Yes,Yes,No,,,,
20260408,123,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00005020,20512,36950,04 GHEE COUNTER,,Yes,04 GHEE COUNTER,-1084.8,Yes,Yes,No,,,,
20260409,124,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000490d,18701,35848,04 GHEE COUNTER,1401,Yes,04 GHEE COUNTER,-43576.76,Yes,Yes,No,,,,
20260409,125,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000491e,18718,34512,08  Wadgaonkar  Sales,1404,Yes,08  Wadgaonkar  Sales,-11724.0,Yes,Yes,No,,,,
20260409,126,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000492e,18734,36845,THE VEGAN  HOTEL,``,Yes,THE VEGAN  HOTEL,-3180.0,Yes,Yes,No,,,,
20260409,126,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000492e,18734,36845,THE VEGAN  HOTEL,``,Yes,Transport,140.0,No,No,No,,,,
20260409,127,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004957,18775,34571,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,952.2,Yes,Yes,No,,,,
20260409,128,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000495d,18781,34602,09   Pandurang  Sales,,Yes,09   Pandurang  Sales,-2090.0,Yes,Yes,No,,,,
20260409,129,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004cd4,19668,35935,09   Pandurang  Sales,,Yes,09   Pandurang  Sales,70.0,Yes,Yes,No,,,,
